#t,fmu0_p.e,fmu0_zChassis,fmu1_p.e,fmu1_p1.f,fmu1_zWheel,fmu2_p.f,fmu2_zGround
+2.5499999999999998e+00,+3.5487743804663642e+03,+1.1580299356262469e+00,+3.9317956662380734e+03,-4.6152469915472540e-03,+6.3582815380489710e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.5600000000000001e+00,+3.5492739124572654e+03,+1.1583584555233706e+00,+3.9399802816293327e+03,-5.9497847573846139e-03,+6.3577358970228870e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.5699999999999998e+00,+3.5528336570809320e+03,+1.1585934879963693e+00,+3.9486380065107351e+03,-5.2329176066914619e-03,+6.3571587153641274e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.5800000000000001e+00,+3.5597761835595347e+03,+1.1587361800168259e+00,+3.9553420644926919e+03,-3.4395615000552457e-03,+6.3567117781653304e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.5899999999999999e+00,+3.5692008607975663e+03,+1.1587884013230920e+00,+3.9595445792720584e+03,-2.0165085908289858e-03,+6.3564316105133734e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6000000000000001e+00,+3.5795492155102934e+03,+1.1587524600807291e+00,+3.9626778220051383e+03,-2.0690408571322630e-03,+6.3562227276645011e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6099999999999999e+00,+3.5894685481996885e+03,+1.1586307564131721e+00,+3.9671906931312633e+03,-3.8020146875730174e-03,+6.3559218695894271e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6200000000000001e+00,+3.5984875461128117e+03,+1.1584255575966573e+00,+3.9751285206677808e+03,-6.4902559840089276e-03,+6.3553926810869943e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6299999999999999e+00,+3.6071611160682246e+03,+1.1581389971949414e+00,+3.9870531154416885e+03,-8.9467909422467698e-03,+6.3545977081020666e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6400000000000001e+00,+3.6166548212694743e+03,+1.1577732717473248e+00,+4.0018477637690071e+03,-1.0195215636898493e-02,+6.3536113982135800e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6499999999999999e+00,+3.6280402862187821e+03,+1.1573309055208945e+00,+4.0174321207644389e+03,-9.9700409732282596e-03,+6.3525724410805517e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6600000000000001e+00,+3.6417025882665448e+03,+1.1568149289023493e+00,+4.0319253409826010e+03,-8.7939990305848474e-03,+6.3516062263993422e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6699999999999999e+00,+3.6571652491346986e+03,+1.1562288755355317e+00,+4.0445983575951777e+03,-7.6289088719771079e-03,+6.3507613586251699e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6800000000000002e+00,+3.6733888502628702e+03,+1.1555766080778815e+00,+4.0561272903628505e+03,-7.3240255159220113e-03,+6.3499927631073250e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.6899999999999999e+00,+3.6893421547146395e+03,+1.1548620726410403e+00,+4.0680755696308693e+03,-8.1736250110073065e-03,+6.3491962111561251e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7000000000000002e+00,+3.7045174926857471e+03,+1.1540891108833082e+00,+4.0819494304249147e+03,-9.8096031418427147e-03,+6.3482712871031899e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7100000000000000e+00,+3.7191211318538712e+03,+1.1532614164172983e+00,+4.0983677950997007e+03,-1.1456366337116424e-02,+6.3471767294582049e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7200000000000002e+00,+3.7338664102825446e+03,+1.1523826375607644e+00,+4.1167783832787736e+03,-1.2379986755495103e-02,+6.3459493569129355e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7300000000000000e+00,+3.7495153285590122e+03,+1.1514565503264473e+00,+4.1358225550639454e+03,-1.2275168928485191e-02,+6.3446797454605919e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7400000000000002e+00,+3.7664352049217714e+03,+1.1504871949319764e+00,+4.1540968801541603e+03,-1.1389568553088673e-02,+6.3434614571212455e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7500000000000000e+00,+3.7844051831327579e+03,+1.1494788980704604e+00,+4.1708707095232021e+03,-1.0342717989534532e-02,+6.3423432018299764e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7599999999999998e+00,+3.8027534136701220e+03,+1.1484361709821360e+00,+4.1863817774379677e+03,-9.7632084226654588e-03,+6.3413091306356595e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7700000000000000e+00,+3.8207224738099808e+03,+1.1473635404461044e+00,+4.2015902317836590e+03,-9.9534975346626010e-03,+6.3402952336792806e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7799999999999998e+00,+3.8378482235627430e+03,+1.1462654005219644e+00,+4.2175704749766592e+03,-1.0758319885564280e-02,+6.3392298841330819e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7900000000000000e+00,+3.8541493073628794e+03,+1.1451459541093099e+00,+4.2348970027153755e+03,-1.1688581290451163e-02,+6.3380747822838335e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.7999999999999998e+00,+3.8700434105147751e+03,+1.1440092595609122e+00,+4.2533518321464762e+03,-1.2211977389746104e-02,+6.3368444603217622e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8100000000000001e+00,+3.8860593281064284e+03,+1.1428593404700307e+00,+4.2720806685354610e+03,-1.2040739355959713e-02,+6.3355958712291660e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8199999999999998e+00,+3.9025164391232024e+03,+1.1417002870518977e+00,+4.2900747149767749e+03,-1.1263574206103499e-02,+6.3343962681330779e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8300000000000001e+00,+3.9193452127596579e+03,+1.1405362886177928e+00,+4.3066926491496552e+03,-1.0265460576444880e-02,+6.3332884058548866e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8399999999999999e+00,+3.9361317934173849e+03,+1.1393715789590562e+00,+4.3219413792644336e+03,-9.4969270147061777e-03,+6.3322718238472353e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8500000000000001e+00,+3.9523430027343124e+03,+1.1382103246996318e+00,+4.3363877157168490e+03,-9.2290703368116574e-03,+6.3313087347504060e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8599999999999999e+00,+3.9675959404214318e+03,+1.1370565146273992e+00,+4.3507809884352928e+03,-9.4260030518985433e-03,+6.3303491832358449e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8700000000000001e+00,+3.9818247382354962e+03,+1.1359139026056317e+00,+4.3656133751103062e+03,-9.7921513308428035e-03,+6.3293603574575108e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8799999999999999e+00,+3.9952649265509444e+03,+1.1347860237516867e+00,+4.3808576235828095e+03,-9.9536160705024166e-03,+6.3283440742260133e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8900000000000001e+00,+4.0082800626868961e+03,+1.1336762631262598e+00,+4.3960060176767038e+03,-9.6650789369241673e-03,+6.3273341812864203e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.8999999999999999e+00,+4.0211370392768094e+03,+1.1325879304046245e+00,+4.4103630059037650e+03,-8.9298203861195094e-03,+6.3263770487379500e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9100000000000001e+00,+4.0338543093449634e+03,+1.1315242953106059e+00,+4.4234131116481103e+03,-7.9767066349583377e-03,+6.3255070416883286e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9199999999999999e+00,+4.0461973536237765e+03,+1.1304885638693425e+00,+4.4350615797083874e+03,-7.1191577085690889e-03,+6.3247304771509771e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9300000000000002e+00,+4.0578106903474873e+03,+1.1294838091803094e+00,+4.4456310348445459e+03,-6.5817057760355763e-03,+6.3240258468085675e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9399999999999999e+00,+4.0684039865345226e+03,+1.1285128937675606e+00,+4.4556377299457654e+03,-6.3893668461368364e-03,+6.3233587338018205e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9500000000000002e+00,+4.0778883797039548e+03,+1.1275784221129468e+00,+4.4654861906366923e+03,-6.3731113069587690e-03,+6.3227021697557595e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9600000000000000e+00,+4.0863948912528544e+03,+1.1266827428403534e+00,+4.4752521130718114e+03,-6.2781564663641652e-03,+6.3220511082600872e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9700000000000002e+00,+4.0941756567720663e+03,+1.1258279922277898e+00,+4.4846612247942876e+03,-5.9082502543732407e-03,+6.3214238341452578e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9800000000000000e+00,+4.1014510127993863e+03,+1.1250161498454363e+00,+4.4932578768456624e+03,-5.2259189976259293e-03,+6.3208507240085010e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+2.9900000000000002e+00,+4.1082886727020859e+03,+1.1242490736484467e+00,+4.5006566797639834e+03,-4.3592372776343341e-03,+6.3203574704806142e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0000000000000000e+00,+4.1145764405564023e+03,+1.1235284960853598e+00,+4.5067358022669832e+03,-3.5198547251131251e-03,+6.3199521956470817e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0099999999999998e+00,+4.1200946267077543e+03,+1.1228559855587994e+00,+4.5116742203744761e+03,-2.8838359069044872e-03,+6.3196229677732507e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0200000000000000e+00,+4.1246406961162756e+03,+1.1222328960059411e+00,+4.5158269953533936e+03,-2.5020655996567287e-03,+6.3193461161079900e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0299999999999998e+00,+4.1281351052928139e+03,+1.1216603320266569e+00,+4.5195194105071459e+03,-2.2852751195696283e-03,+6.3190999550977411e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0400000000000000e+00,+4.1306536339188160e+03,+1.1211391466240013e+00,+4.5228767755876706e+03,-2.0649989279791624e-03,+6.3188761307590402e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0499999999999998e+00,+4.1323755257417324e+03,+1.1206699700914715e+00,+4.5257772907353401e+03,-1.6912313462817837e-03,+6.3186827630825293e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0600000000000001e+00,+4.1334825231560444e+03,+1.1202532524768867e+00,+4.5279420459588100e+03,-1.1115164620604256e-03,+6.3185384460676308e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0699999999999998e+00,+4.1340668875630472e+03,+1.1198892967298417e+00,+4.5291019657847064e+03,-3.9102093221029578e-04,+6.3184611180792383e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0800000000000001e+00,+4.1340965260061248e+03,+1.1195782669691088e+00,+4.5291459135421010e+03,+3.3183190463522192e-04,+6.3184581882287461e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.0899999999999999e+00,+4.1334506453969652e+03,+1.1193201712560819e+00,+4.5281727443382033e+03,+9.2479926232040630e-04,+6.3185230661756742e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1000000000000001e+00,+4.1320006082919153e+03,+1.1191148321908322e+00,+4.5264281174206244e+03,+1.3309100229109850e-03,+6.3186393746368463e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1099999999999999e+00,+4.1296888576840283e+03,+1.1189618642325703e+00,+4.5241699382346278e+03,+1.5913531957360047e-03,+6.3187899199159125e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1200000000000001e+00,+4.1265640098353178e+03,+1.1188606716570000e+00,+4.5215403777009378e+03,+1.8141036553384221e-03,+6.3189652239514937e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1299999999999999e+00,+4.1227572857451160e+03,+1.1188104690983112e+00,+4.5185119559840587e+03,+2.1098318419875178e-03,+6.3191671187326193e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1400000000000001e+00,+4.1184180024058905e+03,+1.1188103146749675e+00,+4.5149297236095053e+03,+2.5321379613315763e-03,+6.3194059342242559e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1499999999999999e+00,+4.1136460567828581e+03,+1.1188591401249885e+00,+4.5106184455559796e+03,+3.0535432516584841e-03,+6.3196933527611576e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1600000000000001e+00,+4.1084575495505915e+03,+1.1189557655758584e+00,+4.5054918617534058e+03,+3.5868297662888723e-03,+6.3200351250146636e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1699999999999999e+00,+4.1027988259095791e+03,+1.1190988960598962e+00,+4.4996056062080661e+03,+4.0363219947658728e-03,+6.3204275420510192e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1800000000000002e+00,+4.0965970706906855e+03,+1.1192871070466794e+00,+4.4931305732683732e+03,+4.3491384022152895e-03,+6.3208592109136663e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.1899999999999999e+00,+4.0898171924863536e+03,+1.1195188316301812e+00,+4.4862679411965146e+03,+4.5391315827665243e-03,+6.3213167197184583e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2000000000000002e+00,+4.0824940837960107e+03,+1.1197923601505932e+00,+4.4791562292562130e+03,+4.6732098538950486e-03,+6.3217908338478113e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2100000000000000e+00,+4.0747252115030710e+03,+1.1201058555828545e+00,+4.4718205094084960e+03,+4.8306796241022690e-03,+6.3222798818376602e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2200000000000002e+00,+4.0666309533401036e+03,+1.1204573794495092e+00,+4.4641869788544882e+03,+5.0596610418513679e-03,+6.3227887838745944e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2300000000000000e+00,+4.0583066052310528e+03,+1.1208449179798872e+00,+4.4561492327961805e+03,+5.3540408579951480e-03,+6.3233246336118154e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2400000000000002e+00,+4.0497922837512801e+03,+1.1212663991057352e+00,+4.4476462726952795e+03,+5.6613989953480390e-03,+6.3238914976185434e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2500000000000000e+00,+4.0410750814398589e+03,+1.1217196966664018e+00,+4.4387096047381910e+03,+5.9149244536522341e-03,+6.3244872754823500e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2599999999999998e+00,+4.0321193818437623e+03,+1.1222026253773347e+00,+4.4294570449799457e+03,+6.0701882373960367e-03,+6.3251041127995666e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2700000000000000e+00,+4.0229066161682208e+03,+1.1227129347467404e+00,+4.4200412176359569e+03,+6.1267625563569796e-03,+6.3257318346224989e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2799999999999998e+00,+4.0134623886666968e+03,+1.1232483099690977e+00,+4.4105841411836336e+03,+6.1245285468799890e-03,+6.3263623063859886e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2900000000000000e+00,+4.0038575935822305e+03,+1.1238063833915026e+00,+4.4011339028871407e+03,+6.1188960985964292e-03,+6.3269923222724223e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.2999999999999998e+00,+3.9941851878510743e+03,+1.1243847541813319e+00,+4.3916644519667543e+03,+6.1500087967734686e-03,+6.3276236190004487e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3100000000000001e+00,+3.9845270970578827e+03,+1.1249810096357418e+00,+4.3821147116534448e+03,+6.2228638395984796e-03,+6.3282602683546718e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3199999999999998e+00,+3.9749296947728135e+03,+1.1255927412361937e+00,+4.3724426193132858e+03,+6.3079550593495778e-03,+6.3289050745106845e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3300000000000001e+00,+3.9654000876727146e+03,+1.1262175519009652e+00,+4.3626639353646260e+03,+6.3602638235652920e-03,+6.3295569867739288e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3399999999999999e+00,+3.9559232731507891e+03,+1.1268530558136249e+00,+4.3528564639599790e+03,+6.3448488359625060e-03,+6.3302108182009054e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3500000000000001e+00,+3.9464891207446135e+03,+1.1274968759438138e+00,+4.3431304717963149e+03,+6.2548212467257325e-03,+6.3308592176784850e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3599999999999999e+00,+3.9371138873606637e+03,+1.1281466450446562e+00,+4.3335840186640880e+03,+6.1128136544090581e-03,+6.3314956478872997e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3700000000000001e+00,+3.9278452534291609e+03,+1.1288000134278164e+00,+4.3242682783590481e+03,+5.9566322837155544e-03,+6.3321166972409693e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3799999999999999e+00,+3.9187496255512506e+03,+1.1294546627864515e+00,+4.3151803746770120e+03,+5.8181403764009706e-03,+6.3327225574864399e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3900000000000001e+00,+3.9098900066756605e+03,+1.1301083220427799e+00,+4.3062850479762974e+03,+5.7072167730743235e-03,+6.3333155792664886e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.3999999999999999e+00,+3.9013070184573153e+03,+1.1307587803289130e+00,+4.2975510048771366e+03,+5.6088747678757229e-03,+6.3338978488064346e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4100000000000001e+00,+3.8930128622181978e+03,+1.1314038940134206e+00,+4.2889812523827204e+03,+5.4938986626090949e-03,+6.3344691656393959e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4199999999999999e+00,+3.8850002465235275e+03,+1.1320415879637933e+00,+4.2806217704242908e+03,+5.3361271521919166e-03,+6.3350264644366261e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4300000000000002e+00,+3.8772601637603670e+03,+1.1326698541108511e+00,+4.2725458080783546e+03,+5.1265872711256351e-03,+6.3355648619263571e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4399999999999999e+00,+3.8697982362578005e+03,+1.1332867513607967e+00,+4.2648243112155797e+03,+4.8772335041601675e-03,+6.3360796283838738e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4500000000000002e+00,+3.8626410345093223e+03,+1.1338904096325360e+00,+4.2574994379021564e+03,+4.6132270996699070e-03,+6.3365679532714347e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4600000000000000e+00,+3.8558298789664241e+03,+1.1344790381584871e+00,+4.2505749640050235e+03,+4.3588864587866434e-03,+6.3370295848645775e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4700000000000002e+00,+3.8494065254171364e+03,+1.1350509357047438e+00,+4.2440271610974323e+03,+4.1253508829473991e-03,+6.3374661050584180e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4800000000000000e+00,+3.8433990653322230e+03,+1.1356044993493470e+00,+4.2378285135062970e+03,+3.9063701225832042e-03,+6.3378793482311591e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.4900000000000002e+00,+3.8378155177240542e+03,+1.1361382293171416e+00,+4.2319704905813333e+03,+3.6837340230283303e-03,+6.3382698830928230e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5000000000000000e+00,+3.8326478302275477e+03,+1.1366507294817862e+00,+4.2264733264741026e+03,+3.4385893870108272e-03,+6.3386363606999718e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5099999999999998e+00,+3.8278832261122357e+03,+1.1371407052745692e+00,+4.2213787547327756e+03,+3.1620919633649656e-03,+6.3389759988160610e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5200000000000000e+00,+3.8235161995864805e+03,+1.1376069617515785e+00,+4.2167310840113505e+03,+2.8597801844719465e-03,+6.3392858435308230e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5299999999999998e+00,+3.8195547172796773e+03,+1.1380484040271783e+00,+4.2125577302910315e+03,+2.5479005903277065e-03,+6.3395640671121778e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5400000000000000e+00,+3.8160178460028683e+03,+1.1384640406116606e+00,+4.2088596213117062e+03,+2.2443575317902440e-03,+6.3398106077108007e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5499999999999998e+00,+3.8129268421253096e+03,+1.1388529883846752e+00,+4.2056157066219785e+03,+1.9595831357981115e-03,+6.3400268686901173e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5600000000000001e+00,+3.8102950397909431e+03,+1.1392144769680457e+00,+4.2027979222874010e+03,+1.6921933935753852e-03,+6.3402147209790904e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5699999999999998e+00,+3.8081220409708149e+03,+1.1395478505730618e+00,+4.2003877221054472e+03,+1.4313140836305349e-03,+6.3403754009912194e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5800000000000001e+00,+3.8063949316213775e+03,+1.1398525667089521e+00,+4.1983852490155477e+03,+1.1637414074622617e-03,+6.3405088991972147e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.5899999999999999e+00,+3.8050952670604051e+03,+1.1401281926640758e+00,+4.1968069375972136e+03,+8.8169222008049712e-04,+6.3406141199584376e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6000000000000001e+00,+3.8042076128158355e+03,+1.1403744015792765e+00,+4.1956738754543558e+03,+5.8696377456080051e-04,+6.3406896574346294e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6099999999999999e+00,+3.8037249773602807e+03,+1.1405909697960768e+00,+4.1949979654651224e+03,+2.8960746807189569e-04,+6.3407347181005780e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6200000000000001e+00,+3.8036485460591039e+03,+1.1407777761475728e+00,+4.1947734753245732e+03,+2.3108737470587408e-06,+6.3407496841099498e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6299999999999999e+00,+3.8039823926422137e+03,+1.1409348025861166e+00,+4.1949780177891880e+03,-2.6613939437700093e-04,+6.3407360479456421e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6400000000000001e+00,+3.8047264597644735e+03,+1.1410621347109002e+00,+4.1955816255001273e+03,-5.1475299255078900e-04,+6.3406958074315789e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6499999999999999e+00,+3.8058717296332484e+03,+1.1411599607736440e+00,+4.1965583959857304e+03,-7.4975246446207320e-04,+6.3406306893992082e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6600000000000001e+00,+3.8073999913942262e+03,+1.1412285685186945e+00,+4.1978943088039578e+03,-9.8022243482131328e-04,+6.3405416285446581e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6699999999999999e+00,+3.8092879514395609e+03,+1.1412683402729367e+00,+4.1995874270690974e+03,-1.2126447306708876e-03,+6.3404287539936510e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6800000000000002e+00,+3.8115131447003014e+03,+1.1412797474525433e+00,+4.2016410892728472e+03,-1.4473289921017999e-03,+6.3402918431800681e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.6899999999999999e+00,+3.8140583741774140e+03,+1.1412633457252817e+00,+4.2040543761659019e+03,-1.6784705671319671e-03,+6.3401309573872000e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7000000000000002e+00,+3.8169124825319077e+03,+1.1412197714816981e+00,+4.2068152068058807e+03,-1.8974818009404684e-03,+6.3399469020112009e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7100000000000000e+00,+3.8200674090728476e+03,+1.1411497393965395e+00,+4.2098995413002986e+03,-2.0975316752273473e-03,+6.3397412797115749e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7200000000000002e+00,+3.8235134678699314e+03,+1.1410540401932041e+00,+4.2132766072049217e+03,-2.2767696654104265e-03,+6.3395161419846013e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7300000000000000e+00,+3.8272355575352976e+03,+1.1409335375968228e+00,+4.2169168677869120e+03,-2.4386353272720322e-03,+6.3392734579458032e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7400000000000002e+00,+3.8312122757483139e+03,+1.1407891638952699e+00,+4.2207982840449768e+03,-2.5893491429523343e-03,+6.3390146968619321e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7500000000000000e+00,+3.8354181894034468e+03,+1.1406219142411589e+00,+4.2249077280247902e+03,-2.7341721403419538e-03,+6.3387407339299462e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7599999999999998e+00,+3.8398278090627273e+03,+1.1404328404167916e+00,+4.2292372668937951e+03,-2.8745354990987173e-03,+6.3384520980053471e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7700000000000000e+00,+3.8444190386009063e+03,+1.1402230449457518e+00,+4.2337777929700705e+03,-3.0074905997037951e-03,+6.3381493962669289e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7799999999999998e+00,+3.8491743491204879e+03,+1.1399936761213993e+00,+4.2385136668586802e+03,-3.1275651189208650e-03,+6.3378336713410222e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7900000000000000e+00,+3.8540792937299716e+03,+1.1397459239431618e+00,+4.2434211740357741e+03,-3.2298221546148273e-03,+6.3375065041958834e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.7999999999999998e+00,+3.8591194292414075e+03,+1.1394810164383271e+00,+4.2484713148304991e+03,-3.3123861894343415e-03,+6.3371698281429023e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8100000000000001e+00,+3.8642774632990286e+03,+1.1392002156672241e+00,+4.2536350939438871e+03,-3.3771384019592350e-03,+6.3368255762020087e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8199999999999998e+00,+3.8695321625248703e+03,+1.1389048129290944e+00,+4.2588883080569021e+03,-3.4283741251201782e-03,+6.3364753619278091e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8300000000000001e+00,+3.8748594819842715e+03,+1.1385961231519908e+00,+4.2642133644429077e+03,-3.4703185519698379e-03,+6.3361203581687431e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8399999999999999e+00,+3.8802351517946904e+03,+1.1382754788924239e+00,+4.2695974634551158e+03,-3.5049245782077265e-03,+6.3357614182345967e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8500000000000001e+00,+3.8856372482158649e+03,+1.1379442245555746e+00,+4.2750284721331527e+03,-3.5310993325143080e-03,+6.3353993509893947e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8599999999999999e+00,+3.8910474151982926e+03,+1.1376037112989057e+00,+4.2804909258836369e+03,-3.5456429768291804e-03,+6.3350351874060296e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
+3.8700000000000001e+00,+3.8964502387296407e+03,+1.1372552927091673e+00,+4.2859643084207510e+03,-3.5452464375347681e-03,+6.3346702952368905e-01,+7.1054273576010019e-15,+1.0000000000000001e-01
