"time","chassis.zChassis"
3.55,1.13925
3.56,1.13958
3.57,1.13988
3.58,1.14016
3.59,1.1404
3.6,1.14062
3.61,1.1408
3.62,1.14096
3.63,1.14108
3.64,1.14118
3.65,1.14125
3.66,1.14128
3.67,1.14129
3.68,1.14127
3.69,1.14123
3.7,1.14116
3.71,1.14106
3.72,1.14094
3.73,1.14079
3.74,1.14062
3.75,1.14043
3.76,1.14022
3.77,1.13999
3.78,1.13974
3.79,1.13947
3.8,1.13919
3.81,1.13889
3.82,1.13858
3.83,1.13826
3.84,1.13793
3.85,1.13759
3.86,1.13724
3.87,1.13688
3.88,1.13652
3.89,1.13616
3.9,1.13579
3.91,1.13542
3.92,1.13505
3.93,1.13469
3.94,1.13432
3.95,1.13396
3.96,1.13361
3.97,1.13326
3.98,1.13291
3.99,1.13258
4,1.13225
4.01,1.13194
4.02,1.13163
4.03,1.13134
4.04,1.13106
4.05,1.13079
4.06,1.13054
4.07,1.1303
4.08,1.13008
4.09,1.12987
4.1,1.12968
4.11,1.1295
4.12,1.12934
4.13,1.12919
4.14,1.12907
4.15,1.12895
4.16,1.12886
4.17,1.12878
4.18,1.12872
4.19,1.12868
4.2,1.12865
4.21,1.12864
4.22,1.12864
4.23,1.12866
4.24,1.1287
4.25,1.12875
4.26,1.12881
4.27,1.12889
4.28,1.12898
4.29,1.12908
4.3,1.12919
4.31,1.12932
4.32,1.12945
4.33,1.1296
4.34,1.12975
4.35,1.12992
4.36,1.13009
4.37,1.13027
4.38,1.13045
4.39,1.13064
4.4,1.13084
4.41,1.13104
4.42,1.13124
4.43,1.13144
4.44,1.13165
4.45,1.13186
4.46,1.13206
4.47,1.13227
4.48,1.13247
4.49,1.13268
4.5,1.13288
4.51,1.13308
4.52,1.13327
4.53,1.13346
4.54,1.13365
4.55,1.13383
4.56,1.134
4.57,1.13417
4.58,1.13433
4.59,1.13448
4.6,1.13463
4.61,1.13476
4.62,1.13489
4.63,1.13501
4.64,1.13513
4.65,1.13523
4.66,1.13532
4.67,1.13541
4.68,1.13548
4.69,1.13555
4.7,1.13561
4.71,1.13565
4.72,1.13569
4.73,1.13572
4.74,1.13574
4.75,1.13575
4.76,1.13575
4.77,1.13574
4.78,1.13573
4.79,1.1357
4.8,1.13567
4.81,1.13563
4.82,1.13558
4.83,1.13553
4.84,1.13547
4.85,1.1354
4.86,1.13533
4.87,1.13525
4.88,1.13516
4.89,1.13507
4.9,1.13498
4.91,1.13488
4.92,1.13477
4.93,1.13467
4.94,1.13456
4.95,1.13445
4.96,1.13434
4.97,1.13422
4.98,1.13411
4.99,1.13399
5,1.13387
5.01,1.13376
5.02,1.13364
5.03,1.13353
5.04,1.13341
5.05,1.1333
5.06,1.13319
5.07,1.13308
5.08,1.13298
5.09,1.13288
5.1,1.13278
5.11,1.13268
5.12,1.13259
5.13,1.1325
5.14,1.13242
5.15,1.13234
5.16,1.13226
5.17,1.13219
5.18,1.13213
5.19,1.13207
5.2,1.13201
5.21,1.13197
5.22,1.13192
5.23,1.13188
5.24,1.13185
5.25,1.13182
5.26,1.1318
5.27,1.13178
5.28,1.13176
5.29,1.13176
5.3,1.13175
5.31,1.13176
5.32,1.13176
5.33,1.13177
5.34,1.13179
5.35,1.13181
5.36,1.13184
5.37,1.13187
5.38,1.1319
5.39,1.13194
5.4,1.13198
5.41,1.13202
5.42,1.13207
5.43,1.13212
5.44,1.13217
5.45,1.13222
5.46,1.13228
5.47,1.13234
5.48,1.1324
5.49,1.13246
5.5,1.13252
5.51,1.13259
5.52,1.13265
5.53,1.13272
5.54,1.13278
5.55,1.13285
5.56,1.13291
5.57,1.13298
5.58,1.13304
5.59,1.13311
5.6,1.13317
5.61,1.13323
5.62,1.13329
5.63,1.13335
5.64,1.1334
5.65,1.13346
5.66,1.13351
5.67,1.13356
5.68,1.13361
5.69,1.13365
5.7,1.1337
5.71,1.13374
5.72,1.13377
5.73,1.13381
5.74,1.13384
5.75,1.13387
5.76,1.1339
5.77,1.13392
5.78,1.13394
5.79,1.13396
5.8,1.13397
5.81,1.13398
5.82,1.13399
5.83,1.134
5.84,1.134
5.85,1.134
5.86,1.134
5.87,1.13399
5.88,1.13398
5.89,1.13397
5.9,1.13396
5.91,1.13394
5.92,1.13393
5.93,1.13391
5.94,1.13389
5.95,1.13386
5.96,1.13384
5.97,1.13381
5.98,1.13378
5.99,1.13375
6,1.13372
6.01,1.13369
6.02,1.13365
6.03,1.13362
6.04,1.13358
6.05,1.13355
6.06,1.13351
6.07,1.13347
6.08,1.13344
6.09,1.1334
6.1,1.13336
6.11,1.13333
6.12,1.13329
6.13,1.13326
6.14,1.13322
6.15,1.13319
6.16,1.13315
6.17,1.13312
6.18,1.13309
6.19,1.13306
6.2,1.13303
6.21,1.133
6.22,1.13297
6.23,1.13294
6.24,1.13292
6.25,1.13289
6.26,1.13287
6.27,1.13285
6.28,1.13283
6.29,1.13282
6.3,1.1328
6.31,1.13279
6.32,1.13278
6.33,1.13277
6.34,1.13276
6.35,1.13275
6.36,1.13274
6.37,1.13274
6.38,1.13274
6.39,1.13274
6.4,1.13274
6.41,1.13274
6.42,1.13275
6.43,1.13275
6.44,1.13276
6.45,1.13277
6.46,1.13278
6.47,1.13279
6.48,1.1328
6.49,1.13281
6.5,1.13282
6.51,1.13284
6.52,1.13286
6.53,1.13287
6.54,1.13289
6.55,1.13291
6.56,1.13293
6.57,1.13295
6.58,1.13296
6.59,1.13298
6.6,1.133
6.61,1.13303
6.62,1.13305
6.63,1.13307
6.64,1.13309
6.65,1.13311
6.66,1.13313
6.67,1.13315
6.68,1.13317
6.69,1.13319
6.7,1.13321
6.71,1.13323
6.72,1.13324
6.73,1.13326
6.74,1.13328
6.75,1.1333
6.76,1.13331
6.77,1.13333
6.78,1.13334
6.79,1.13335
6.8,1.13337
6.81,1.13338
6.82,1.13339
6.83,1.1334
6.84,1.13341
6.85,1.13342
6.86,1.13342
6.87,1.13343
6.88,1.13344
6.89,1.13344
6.9,1.13344
6.91,1.13345
6.92,1.13345
6.93,1.13345
6.94,1.13345
6.95,1.13345
6.96,1.13344
6.97,1.13344
6.98,1.13344
6.99,1.13343
7,1.13343
7.01,1.13342
7.02,1.13342
7.03,1.13341
7.04,1.1334
7.05,1.13339
7.06,1.13339
7.07,1.13338
7.08,1.13337
7.09,1.13336
7.1,1.13335
7.11,1.13334
7.12,1.13332
7.13,1.13331
7.14,1.1333
7.15,1.13329
7.16,1.13328
7.17,1.13327
7.18,1.13326
7.19,1.13324
7.2,1.13323
7.21,1.13322
7.22,1.13321
7.23,1.1332
7.24,1.13319
7.25,1.13318
7.26,1.13317
7.27,1.13316
7.28,1.13315
7.29,1.13314
7.3,1.13313
7.31,1.13312
7.32,1.13311
7.33,1.1331
7.34,1.1331
7.35,1.13309
7.36,1.13308
7.37,1.13308
7.38,1.13307
7.39,1.13307
7.4,1.13306
7.41,1.13306
7.42,1.13306
7.43,1.13305
7.44,1.13305
7.45,1.13305
7.46,1.13305
7.47,1.13305
7.48,1.13305
7.49,1.13305
7.5,1.13305
7.51,1.13305
7.52,1.13305
7.53,1.13306
7.54,1.13306
7.55,1.13306
7.56,1.13306
7.57,1.13307
7.58,1.13307
7.59,1.13308
7.6,1.13308
7.61,1.13309
7.62,1.13309
7.63,1.1331
7.64,1.1331
7.65,1.13311
7.66,1.13312
7.67,1.13312
7.68,1.13313
7.69,1.13313
7.7,1.13314
7.71,1.13315
7.72,1.13315
7.73,1.13316
7.74,1.13317
7.75,1.13317
7.76,1.13318
7.77,1.13319
7.78,1.13319
7.79,1.1332
7.8,1.1332
7.81,1.13321
7.82,1.13322
7.83,1.13322
7.84,1.13323
7.85,1.13323
7.86,1.13324
7.87,1.13324
7.88,1.13324
7.89,1.13325
7.9,1.13325
7.91,1.13326
7.92,1.13326
7.93,1.13326
7.94,1.13326
7.95,1.13327
7.96,1.13327
7.97,1.13327
7.98,1.13327
7.99,1.13327
8,1.13327
8.01,1.13327
8.02,1.13327
8.03,1.13327
8.04,1.13327
8.05,1.13327
8.06,1.13327
8.07,1.13327
8.08,1.13327
8.09,1.13327
8.1,1.13326
8.11,1.13326
8.12,1.13326
8.13,1.13326
8.14,1.13326
8.15,1.13325
8.16,1.13325
8.17,1.13325
8.18,1.13324
8.19,1.13324
8.2,1.13324
8.21,1.13323
8.22,1.13323
8.23,1.13323
8.24,1.13322
8.25,1.13322
8.26,1.13322
8.27,1.13321
8.28,1.13321
8.29,1.1332
8.3,1.1332
8.31,1.1332
8.32,1.13319
8.33,1.13319
8.34,1.13319
