"time","wheel.zWheel"
3.55,0.634024
3.56,0.63404
3.57,0.634053
3.58,0.634063
3.59,0.634071
3.6,0.634075
3.61,0.634076
3.62,0.634075
3.63,0.634071
3.64,0.634064
3.65,0.634055
3.66,0.634043
3.67,0.634029
3.68,0.634013
3.69,0.633995
3.7,0.633974
3.71,0.633951
3.72,0.633927
3.73,0.633901
3.74,0.633873
3.75,0.633844
3.76,0.633814
3.77,0.633782
3.78,0.633749
3.79,0.633716
3.8,0.633681
3.81,0.633646
3.82,0.63361
3.83,0.633574
3.84,0.633538
3.85,0.633502
3.86,0.633465
3.87,0.633429
3.88,0.633392
3.89,0.633357
3.9,0.633321
3.91,0.633287
3.92,0.633253
3.93,0.633219
3.94,0.633187
3.95,0.633155
3.96,0.633125
3.97,0.633096
3.98,0.633068
3.99,0.633041
4,0.633016
4.01,0.632992
4.02,0.63297
4.03,0.632949
4.04,0.632929
4.05,0.632911
4.06,0.632895
4.07,0.632881
4.08,0.632868
4.09,0.632856
4.1,0.632847
4.11,0.632839
4.12,0.632832
4.13,0.632828
4.14,0.632825
4.15,0.632823
4.16,0.632823
4.17,0.632825
4.18,0.632828
4.19,0.632833
4.2,0.632839
4.21,0.632846
4.22,0.632855
4.23,0.632865
4.24,0.632876
4.25,0.632888
4.26,0.632901
4.27,0.632915
4.28,0.632931
4.29,0.632947
4.3,0.632964
4.31,0.632981
4.32,0.632999
4.33,0.633018
4.34,0.633037
4.35,0.633057
4.36,0.633077
4.37,0.633097
4.38,0.633117
4.39,0.633138
4.4,0.633158
4.41,0.633179
4.42,0.633199
4.43,0.633219
4.44,0.633239
4.45,0.633259
4.46,0.633278
4.47,0.633297
4.48,0.633316
4.49,0.633333
4.5,0.633351
4.51,0.633367
4.52,0.633383
4.53,0.633399
4.54,0.633413
4.55,0.633427
4.56,0.63344
4.57,0.633452
4.58,0.633463
4.59,0.633474
4.6,0.633483
4.61,0.633492
4.62,0.6335
4.63,0.633506
4.64,0.633512
4.65,0.633517
4.66,0.633521
4.67,0.633524
4.68,0.633526
4.69,0.633527
4.7,0.633527
4.71,0.633527
4.72,0.633525
4.73,0.633523
4.74,0.63352
4.75,0.633516
4.76,0.633512
4.77,0.633506
4.78,0.6335
4.79,0.633494
4.8,0.633487
4.81,0.633479
4.82,0.63347
4.83,0.633462
4.84,0.633452
4.85,0.633443
4.86,0.633433
4.87,0.633422
4.88,0.633411
4.89,0.6334
4.9,0.633389
4.91,0.633378
4.92,0.633367
4.93,0.633355
4.94,0.633344
4.95,0.633332
4.96,0.633321
4.97,0.633309
4.98,0.633298
4.99,0.633287
5,0.633276
